image_id,x_1,y_1,width,height
000001.jpg,95,71,226,313
000002.jpg,72,94,221,306
000003.jpg,216,59,91,126
000004.jpg,622,257,564,781
000005.jpg,236,109,120,166
000006.jpg,146,67,182,252
000007.jpg,64,93,211,292
000008.jpg,212,89,218,302
000009.jpg,600,274,343,475
000010.jpg,113,110,211,292
000011.jpg,166,68,125,173
000012.jpg,102,31,104,144
000013.jpg,89,132,247,342
000014.jpg,110,122,234,324
000015.jpg,93,86,190,263
000016.jpg,39,89,283,392
000017.jpg,40,64,62,86
000018.jpg,140,84,195,270
000019.jpg,226,87,138,191
000020.jpg,85,38,221,306
000021.jpg,128,27,135,187
000022.jpg,130,33,114,158
000023.jpg,159,94,231,320
000024.jpg,753,127,114,158
000025.jpg,239,85,200,277
000026.jpg,59,45,107,148
000027.jpg,90,47,104,144
000028.jpg,118,32,174,241
000029.jpg,93,71,153,212
000030.jpg,165,181,372,515
000031.jpg,70,94,283,392
000032.jpg,143,50,211,292
000033.jpg,82,37,114,158
000034.jpg,181,41,101,140
000035.jpg,322,138,146,202
000036.jpg,102,56,125,173
000037.jpg,96,74,174,241
000038.jpg,128,99,242,335
000039.jpg,167,207,96,133
000040.jpg,91,87,166,230
000041.jpg,127,91,172,238
000042.jpg,84,102,174,241
000043.jpg,133,62,133,184
000044.jpg,743,626,998,1382
000045.jpg,220,26,138,191
000046.jpg,134,65,99,137
000047.jpg,142,89,203,281
000048.jpg,264,58,140,194
000049.jpg,47,45,60,83
000050.jpg,110,30,133,184
000051.jpg,61,98,255,353
000052.jpg,135,159,333,461
000053.jpg,35,64,91,126
000054.jpg,876,228,224,310
000055.jpg,30,62,268,371
000056.jpg,188,91,281,389
000057.jpg,220,25,114,158
000058.jpg,167,64,140,194
000059.jpg,125,169,263,364
000060.jpg,17,84,174,241
000061.jpg,171,50,239,331
000062.jpg,263,68,94,130
000063.jpg,1,58,91,126
000064.jpg,82,66,177,245
000065.jpg,377,105,164,227
000066.jpg,29,39,57,79
000067.jpg,254,95,237,322
000068.jpg,98,103,234,324
000069.jpg,58,54,229,317
000070.jpg,46,30,75,104
000071.jpg,59,105,174,241
000072.jpg,20,29,101,140
000073.jpg,145,50,161,223
000074.jpg,126,1,374,518
000075.jpg,257,6,99,137
000076.jpg,175,29,133,184
000077.jpg,70,116,221,306
000078.jpg,272,43,151,209
000079.jpg,57,47,221,306
000080.jpg,84,79,281,389
000081.jpg,111,58,133,184
000082.jpg,67,33,99,137
000083.jpg,88,84,161,223
000084.jpg,99,48,117,162
000085.jpg,271,312,603,835
000086.jpg,856,226,317,439
000087.jpg,44,34,81,112
000088.jpg,52,112,278,385
000089.jpg,337,146,320,443
000090.jpg,38,33,109,151
000091.jpg,101,120,174,241
000092.jpg,133,78,140,194
000093.jpg,167,43,55,76
000094.jpg,167,38,96,133
000095.jpg,28,20,109,137
000096.jpg,322,110,330,457
000097.jpg,202,77,200,277
000098.jpg,436,56,101,140
000099.jpg,102,83,138,191
000100.jpg,284,140,364,504
000101.jpg,74,45,91,126
000102.jpg,75,1,125,173
000103.jpg,212,134,237,328
000104.jpg,84,119,151,209
000105.jpg,107,41,70,97
000106.jpg,245,187,203,281
000107.jpg,41,57,99,137
000108.jpg,217,86,187,259
000109.jpg,90,156,478,662
000110.jpg,191,133,185,256
000111.jpg,96,111,429,594
000112.jpg,115,65,109,151
000113.jpg,137,22,120,166
000114.jpg,157,62,182,252
000115.jpg,298,41,166,230
000116.jpg,111,74,187,259
000117.jpg,274,59,320,443
000118.jpg,101,113,179,248
000119.jpg,33,48,127,176
000120.jpg,70,8,68,119
000121.jpg,261,117,296,410
000122.jpg,148,56,161,223
000123.jpg,94,72,133,184
000124.jpg,792,230,785,967
000125.jpg,48,30,143,198
000126.jpg,241,68,205,284
000127.jpg,65,22,65,90
000128.jpg,229,212,91,126
000129.jpg,185,248,369,511
000130.jpg,63,46,94,130
000131.jpg,43,75,151,209
000132.jpg,410,213,299,414
000133.jpg,221,69,161,223
000134.jpg,85,74,177,245
000135.jpg,242,194,356,493
000136.jpg,60,79,125,173
000137.jpg,120,80,179,248
000138.jpg,119,1,153,212
000139.jpg,47,31,91,126
000140.jpg,195,99,187,259
000141.jpg,111,45,91,126
000142.jpg,215,55,177,245
000143.jpg,29,96,291,403
